year,X,Days.closed,Periods.closed,Beach,phos,dis,EE,sst,EE1.6
2005,1,0,0,James Madison,0.139625480754352,77.5260869565217,1,28.294,0
2005,2,1,1,Tenney Park,0.139625480754352,77.5260869565217,1,28.294,0
2005,3,1,1,Warner,0.139625480754352,77.5260869565217,1,28.294,0
2006,4,1,1,James Madison,0.0995013273925699,65.3046739130435,1,28.391,0
2006,5,0,0,Tenney Park,0.0995013273925699,65.3046739130435,1,28.391,0
2006,6,0,0,Warner,0.0995013273925699,65.3046739130435,1,28.391,0
2007,7,6,2,James Madison,0.111211268802671,99.0369565217391,2,28.662,0
2007,8,5,1,Tenney Park,0.111211268802671,99.0369565217391,2,28.662,0
2007,9,8,1,Warner,0.111211268802671,99.0369565217391,2,28.662,0
2008,10,15,8,James Madison,0.123951372096288,156.566304347826,4,27.682,2
2008,11,11,6,Tenney Park,0.123951372096288,156.566304347826,4,27.682,2
2008,12,21,8,Warner,0.123951372096288,156.566304347826,4,27.682,2
2009,13,19,4,James Madison,0.220521739130435,182.667391304348,5,27.997,2
2009,14,13,5,Tenney Park,0.220521739130435,182.667391304348,5,27.997,2
2009,15,9,4,Warner,0.220521739130435,182.667391304348,5,27.997,2
2010,16,0,0,James Madison,0.113804347826087,106.09347826087,0,28.394,0
2010,17,0,0,Tenney Park,0.113804347826087,106.09347826087,0,28.394,0
2010,18,1,1,Warner,0.113804347826087,106.09347826087,0,28.394,0
2011,19,6,1,James Madison,0.131147826086957,122.554347826087,2,26.875,0
2011,20,5,1,Tenney Park,0.131147826086957,122.554347826087,2,26.875,0
2011,21,3,1,Warner,0.131147826086957,122.554347826087,2,26.875,0
2012,22,1,1,James Madison,0.11,69.9921739130435,1,28.481,0
2012,23,0,0,Tenney Park,0.11,69.9921739130435,1,28.481,0
2012,24,0,0,Warner,0.11,69.9921739130435,1,28.481,0
2013,25,0,0,James Madison,0.170165217391304,138.326086956522,4,28.569,0
2013,26,0,0,Tenney Park,0.170165217391304,138.326086956522,4,28.569,0
2013,27,1,1,Warner,0.170165217391304,138.326086956522,4,28.569,0
2014,28,2,1,James Madison,0.199876086956522,90.7666304347826,3,28.018,1
2014,29,4,2,Tenney Park,0.199876086956522,90.7666304347826,3,28.018,1
2014,30,13,4,Warner,0.199876086956522,90.7666304347826,3,28.018,1
2015,31,2,2,James Madison,0.111322826086957,71.1675,2,28.092,1
2015,32,4,2,Tenney Park,0.111322826086957,71.1675,2,28.092,1
2015,33,3,3,Warner,0.111322826086957,71.1675,2,28.092,1
2016,34,0,0,James Madison,0.0743478260869565,84.0804347826087,0,29.148,0
2016,35,0,0,Tenney Park,0.0743478260869565,84.0804347826087,0,29.148,0
2016,36,0,0,Warner,0.0743478260869565,84.0804347826087,0,29.148,0
2017,37,3,1,James Madison,0.0835760869565217,126.075,0,28.726,0
2017,38,9,2,Tenney Park,0.0835760869565217,126.075,0,28.726,0
2017,39,0,0,Warner,0.0835760869565217,126.075,0,28.726,0
2018,40,9,5,James Madison,0.135333695652174,100.335869565217,4,27.909,0
2018,41,6,2,Tenney Park,0.135333695652174,100.335869565217,4,27.909,0
2018,42,12,3,Warner,0.135333695652174,100.335869565217,4,27.909,0
2019,43,5,1,James Madison,0.142076086956522,186.411956521739,3,28.562,0
2019,44,0,0,Tenney Park,0.142076086956522,186.411956521739,3,28.562,0
2019,45,2,4,Warner,0.142076086956522,186.411956521739,3,28.562,0
2020,46,7,2,James Madison,0.0780406593406593,139.47032967033,3,28.733,1
2020,47,3,1,Tenney Park,0.0780406593406593,139.47032967033,3,28.733,1
2020,48,4,4,Warner,0.0780406593406593,139.47032967033,3,28.733,1
